"jetz name"	"freq.numbers"	"min.prey"	"max.prey"	"mass"	"masslog"	"min.prey.log"	"max.prey.log"	"estimated_min_prey"	"estimated_max_prey"
"135"	"Buteo_platypterus"	2	NA	"56"	453.650000000001	6.11732597561564	NA	4.02535169073515	22.1806956062174	303.165879807641
"136"	"Geranoaetus_polyosoma"	2	NA	NA	782.61	6.66263448761443	NA	NA	40.0487479820779	463.165847264855
"138"	"Buteo_regalis"	2	"75"	"1900"	1437.18	7.27043813919486	4.31748811353631	7.54960916515453	77.3770155358526	742.825006872324
"139"	"Buteo_ridgwayi"	2	"44"	"76"	866.399999999999	6.76434669568678	3.78418963391826	4.33073334028633	44.7149903270844	501.264696119777
"140"	"Buteo_rufinus"	2	"20"	"350"	1166.18	7.06148872892397	2.99573227355399	5.85793315448346	61.6997781617714	631.481310402878
"141"	"Buteo_rufofuscus"	2	NA	"453"	1530	7.33302301438648	NA	6.11589212548303	82.8063138896406	779.849117083822
"142"	"Buteo_solitarius"	1	NA	"511"	500.879999999997	6.21636655143705	NA	6.2363695902037	24.6934704503314	327.422985812913
"143"	"Buteo_swainsoni"	2	"37.5"	"1110"	946.609999999998	6.85288718154058	3.62434093297637	7.01211529430638	49.2174296542475	536.972321564858
"144"	"Buteo_ventralis"	2	NA	"327"	1190.52	7.08214546544981	NA	5.78996017089725	63.0963656213537	641.700979989889
"146"	"Buteogallus_urubitinga"	2	NA	"840"	1152.87	7.05000976456285	NA	6.73340189183736	60.9370995165553	625.872751319704
"151"	"Carpococcyx_renauldi"	2	"small birds"	"small birds"	550.000000000002	6.30991827822652	NA	NA	27.3278919159898	352.115687565682
"152"	"Ardea_alba"	2	"small birds"	"small birds"	871.329999999996	6.77002077995403	NA	NA	44.9907546404596	503.480058150793
"153"	"Catharacta_antarctica"	1	"200"	"800"	1650.00000000001	7.40853056689463	5.29831736654804	6.68461172766793	89.8661514018337	826.98265942707
"155"	"Catharacta_maccormicki"	2	"200"	"800"	1347.07	7.20568714239493	5.29831736654804	6.68461172766793	72.1341890324797	706.368497670727
"156"	"Catharacta_skua"	2	"24"	"4500"	1338.21999999999	7.19909565168614	3.17805383034795	8.41183267575841	71.6208217552451	702.759164953687
"157"	"Centropus_anselli"	2	"small birds"	"small birds"	210	5.34710753071747	NA	NA	9.62769296901254	166.613810730757
"159"	"Centropus_senegalensis"	2	"small birds"	"small birds"	168.999999999999	5.12989871492307	NA	NA	7.60864130894691	140.733410744508
"163"	"Ciconia_boyciana"	2	"small birds"	"small birds"	4847.73999999998	8.48626789594795	NA	NA	288.910097246249	1911.00390641915
"170"	"Circus_aeruginosus"	1	"small birds"	"675"	704.070000000001	6.55687778303321	NA	6.51471269087253	35.7125999008614	426.619607593014
"171"	"Circus_approximans"	1	"6"	"1110"	746.190000000002	6.61498025946435	1.79175946922805	7.01211529430638	38.0332640202369	446.325758385597
"172"	"Circus_assimilis"	2	"25"	"106"	558.579999999998	6.3253978490749	3.2188758248682	4.66343909411207	27.7901300283112	356.377390493859
"173"	"Circus_buffoni"	2	NA	"64.599999999999994"	507.399999999999	6.22929964716518	NA	4.16821441078856	25.0419558784387	330.730639226784
"174"	"Circus_cinereus"	2	"small birds"	NA	399.669999999998	5.99063920660819	NA	NA	19.335629726868	274.738896034213
"175"	"Circus_cyaneus"	1	"passerines"	"150"	392.98	5.97375871998905	NA	5.01063529409626	18.9851758431365	271.158069390655
